,,,,,,,
,S No.,Model,Field type,COLUMN,DESCRIPTION,Meanings,LONG DESCRIPTION
,155,Sustainable Finance,Dimension,PSGL_Product_Code,PSGL Product Code,PSGL Product Code,PSGL product code
,156,Sustainable Finance,Dimension,Period,Period,"Reporting Period, Reporting Month, Reporting Date, Period Name",This attribute denotes the reporting day expressed in YYYYMMDD format
,157,Sustainable Finance,Dimension,PORTFOLIO,Portfolio,-,"This attribute displays Portfolio information for FM, directly flowing from Murex/PCDB.  The SF tagging is based on Portfolio Mapping in MFU, there are defined set of Portfolio to be treated as SF transaction, and these Portfolio are input to MFU.  PMI batch tags transaction based on the defined Portfolio for each transaction. "
,158,Sustainable Finance,Dimension,PUREPLAY,Pureplay,-,-
,159,Sustainable Finance,Dimension,PUREPLAY_CATEGORY,Pureplay Category," Pure Play Type, Pure play Classification","Pure Play Category Defines whether the Client is Clean Tech, Micro Finance or Other Pureplay.
Tagging of Category is also based on MFU definition for each client."
,160,Sustainable Finance,Dimension,PUREPLAY_FLAG,Pureplay Flag,-,"This attribute defines whether the transaction is Pureplay or not, by tagging PurePlay Flag with ""Y"" & ""N"".  Y represents the transaction is Pureplay clients transaction.
The Y or N tagging is based on  MFU Pureplay clients lists, the tagging happens for the transactions from TP based on the list."
,161,Sustainable Finance,Dimension,PUREPLAY_SUB_CATEGORY,Pureplay Sub Category,-,-
,162,Sustainable Finance,Dimension,PRODUCT_ALTER_HIER_L1,Reporting Product Level 1,-,This allows a drill-down through Level 1 of the Customised Product Management Hierarchy created for reporting purpose.
,163,Sustainable Finance,Dimension,PRODUCT_ALTER_HIER_L2,Reporting Product Level 2,-,This allows a drill-down through Level 2 of the Customised Product Management Hierarchy created for reporting purpose.
,164,Sustainable Finance,Dimension,PRODUCT_ALTER_HIER_L3,Reporting Product Level 3,-,This allows a drill-down through Level 3 of the Customised Product Management Hierarchy created for reporting purpose.
,165,Sustainable Finance,Dimension,PRODUCT_ALTER_HIER_L4,Reporting Product Level 4,-,This allows a drill-down through Level 4 of the Customised Product Management Hierarchy created for reporting purpose.
,166,Sustainable Finance,Dimension,FOL_Location,Revised FAM Location,"Origination location, FOL alias",This represents the FAM Location based on the 'Revised FAM Location' attribute in PMI
,167,Sustainable Finance,Dimension,FACILITY_REFERENCE,SCI Limit ID,-,-
,168,Sustainable Finance,Dimension,SF_Category,SF Category," Sustainable Finance Category, SF Classification","Differentiates the given transaction is UOP or KPI
Tagging of Category is also based on MFU definition for each client/product/strategy/typology/portfolio/Limit/transaction."
,169,Sustainable Finance,Dimension,SF_Impact,SF Impact,-,-
,170,Sustainable Finance,Dimension,SF_Sub_Category,SF Sub Category,-,"Defines the Sustainable Finance labels:
Green, Sustainable, Social, SLL, Transition, SLB, Blue & Green, 
Green Bond

Tagging of SF Sub Category is also based on MFU definition for each client/product/strategy/typology/portfolio/Limit/transaction."
,171,Sustainable Finance,Dimension,Tagging_Model,SF Tagging Model,-,-
,172,Sustainable Finance,Dimension,Sector,Sector,-,-
