,Count of Variances,0,,,,,PL Threshold,,3000000,,,,,,
,Comments to be updated,0,,,,,,,0.1,,,,,,
,,,,,,,,,,,,,,,
,Sum of USD,,,Period,,,,,,,,,,,
,BS,IFRS Pack Sch Description,IFRS Line Item / General Ref,Nov'25,Oct'25,Variance,%,Conditions,Comments required,Commentaries,,,,,
,,Interest Receivable & Similar Income Total,,-478941886.06672966,-469751412.0928146,-9190473.97391504,0.01956454783812159,,,,#N/A,,,,
,,Not Applicable,Not Applicable,-0.6283170902496358,33115.92590509355,-33116.5542221838,-1.0000189732605407,False,Variance does not exceed $3M,Immaterial variance,#N/A,,,,
,,Not Applicable Total,,-0.6283170902496358,33115.92590509355,-33116.5542221838,-1.0000189732605407,False,Variance does not exceed $3M,Immaterial variance,#N/A,,,,
,,Other Impairment,Impairment-Others,7244.460544200241,-4352.1658868016675,11596.626431001909,-2.664564433577708,False,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,Other Impairment Total,,7244.460544200241,-4352.1658868016675,11596.626431001909,-2.664564433577708,False,Variance does not exceed $3M,Immaterial variance,#N/A,,,,
,,Profit & Loss,Div Inc-Invstmt in Subsid,-289755495.5466366,,-289755495.5466366,1,True,Variance exceeds $3M and 10%,Dividend from SCB China $290Mn.,Gou Darren mail comm,,,,
,,,ECL Allowances - Stage 1 to 3,-26302785.816685,15778807.962310128,-42081593.77899513,-2.66696913223818,True,Variance exceeds $3M and 10%,"From L&A Team : 
ECL - Customers - Major contributors to the variance:
1. ECL release on personal loans product due to transfer of PL portfolio to Mox Bank as part of Project Oxford - USD 25 Mn
2. ECL",By investments & LA team- mail  (pending from investments team),,,,
,,,Fee & Commission Exp-NGp,14515759.30936322,13523500.18973143,992259.1196317896,0.07337295121164156,,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,,Fee & Commission Inc-NGp,-63170581.21842381,-89652267.13928556,26481685.92086175,-0.2953822225122235,True,Variance exceeds $3M and 10%,"Reasons are as follows: 
i. Decrease of $12m in loan arrangement fees from transactions majorly for global corporates
ii. Decrease of $7m in Security fees for trading transactions in Private Banking m",Gayathri,,,,
,,,"NTP - Int Rcv-Lns,Adv&Oth-SCB",-1618504.5020901188,-6190286.013717068,4571781.5116269495,-0.7385412405010574,,Variance exceeds $3M and 10%,Interco Reletad and hence exluded,Harish,,,,
,,,NTP Interco - Fee & Commission Exp-Grp,1795793.171851358,1758295.240048715,37497.931802643,0.02132630001410007,False,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,,NTP Interco - Fee & Commission Inc-Grp,-148266.40935552528,-159263.45490673668,10997.045551211399,-0.06904939716177308,,Variance does not exceed $3M,Immaterial variance,Hemanth,,,,
,,,Share of PBT of Assoc Company,26158541.276639394,-20126914.941349912,46285456.21798931,-2.299679625658762,True,Variance exceeds $3M and 10%,Variance is due to revenue share from Bohai,Hemanth,,,,
,,,TP Interco - Fee & Commission Exp-Grp,36789035.41148411,71016285.74578547,-34227250.33430137,-0.4819633971962919,True,Variance exceeds $3M and 10%,Interco Balances hence excluded,Balaji,,,,
,,,TP Interco - Fee & Commission Inc-Grp,-31826534.55363785,-25285091.11979998,-6541443.433837872,0.25870752859243085,,Variance exceeds $3M and 10%,Interco Balances hence excluded,Hemanth,,,,
,,Profit & Loss Total,,-333563038.87749076,-39336933.53118352,-294226105.3463072,7.479640097341744,,,,#N/A,,,,
,,Tax Charge Analysis,Ovrs Tax-CurrTaxThisPeriod,86397322.65150155,39696299.67694379,46701022.974557765,1.1764578400158145,,Variance exceeds $3M and 10%,Variance is on account of increase in tax charge which is inline with increase in taxable profits as compared to prior reporting period.,Balaji,,,,
